"Q","SERIES_CODE","total_search","sum_link","sum_linkCtg","total_codefix","total_tabcount","links_by_series"
"gears",110300428520,69,47,24,1,2,1
"worm",110302194530,5,5,1,1,7,3
"gears",110302194530,69,47,24,1,2,2
"gears",110300428340,69,47,24,1,4,3
"hntt6-5",110302251050,5,6,0,2,16,6
"hnttss6",110302251050,1,2,0,2,5,2
"cpfblr2",110200035810,1,1,0,1,2,1
"motor",110302495960,35,4,20,1,3,3
"hfs5-2550-722",110302368920,2,2,0,2,2,2
"hfs5-2550",110302368920,3,2,0,2,3,2
"hfs5-2525-315.5",110302368920,1,1,0,1,1,1
"hfs5-2525-95",110302368920,2,2,0,2,2,2
"hfsqn4-1050",110302261730,2,2,0,2,3,2
"put6-10-cb",110300310650,3,2,0,2,2,2
"hfsl6",110302369620,4,3,0,3,6,3
"gfs6",110302369620,5,5,0,3,7,4
"gfs6-3030-956",110302369620,2,1,0,0,2,1
"caf6",110302369620,0,2,0,0,2,1
"ebgonp20150",110300280210,1,1,0,1,2,1
